listing_id,room_type,accomodates,min_date,max_date,timedelta (days),timedelta > 3 months,timedelta = 0,št. reviewev v zadnjih 12 mesecih,"število mesecev, v katerem so prejeli review",latitude,longitude,reviews,overall_satisfaction,price
111613,Entire home/apt,4,2011-08-29,2016-03-28,1673,TRUE,FALSE,0,0,46.045366,14.505869,11,5,103
133370,Private room,2,2016-10-11,2018-12-10,790,TRUE,FALSE,51,12,46.055902,14.508633,180,4.5,48
157551,Entire home/apt,4,2013-09-02,2018-11-04,1889,TRUE,FALSE,13,7,46.044444,14.505461,37,4.5,61
170532,Entire home/apt,2,2014-08-08,2018-10-28,1542,TRUE,FALSE,33,9,46.068275,14.48873,93,5,48
175241,Entire home/apt,2,2017-04-17,2018-10-19,550,TRUE,FALSE,30,10,46.046583,14.507908,45,4.5,39
178314,Entire home/apt,5,2011-08-30,2018-04-05,2410,TRUE,FALSE,1,1,46.045201,14.507343,25,5,91
184445,Entire home/apt,4,2017-07-28,2018-12-09,499,TRUE,FALSE,71,12,46.051091,14.506025,341,5,84
184527,Entire home/apt,3,2017-10-01,2018-12-11,436,TRUE,FALSE,86,12,46.050937,14.504317,358,5,65
195984,Private room,2,,,0,FALSE,TRUE,0,0,46.053066,14.608418,36,5,21
210296,Entire home/apt,2,2014-08-05,2018-11-16,1564,TRUE,FALSE,38,12,46.049469,14.498598,112,5,50
212510,Shared room,2,,,0,FALSE,TRUE,0,0,46.114486,14.463913,0,\N,61
222162,Private room,2,2015-10-19,2018-10-31,1108,TRUE,FALSE,30,9,46.046215,14.499812,146,5,48
225581,Entire home/apt,3,2014-12-20,2018-11-11,1422,TRUE,FALSE,27,11,46.048462,14.496964,124,5,96
264024,Entire home/apt,4,2011-12-10,2015-06-18,1286,TRUE,FALSE,0,0,46.049428,14.506903,9,5,88
264161,Private room,2,2012-01-09,2013-09-24,624,TRUE,FALSE,0,0,46.048584,14.507456,3,5,84
268122,Entire home/apt,4,2016-12-05,2016-12-05,0,FALSE,TRUE,0,0,46.049082,14.507021,1,\N,109
268648,Shared room,1,,,0,FALSE,TRUE,0,0,46.041514,14.505608,0,\N,72
271993,Entire home/apt,5,2012-01-23,2018-09-02,2414,TRUE,FALSE,11,3,46.046689,14.500478,31,5,119
279430,Entire home/apt,4,2012-01-09,2017-07-21,2020,TRUE,FALSE,0,0,46.049226,14.505481,7,5,109
279431,Entire home/apt,4,2012-01-29,2018-11-02,2469,TRUE,FALSE,1,1,46.049998,14.507029,9,5,109
279470,Private room,2,2013-08-23,2013-08-23,0,FALSE,TRUE,0,0,46.04912,14.505369,1,\N,84
327740,Entire home/apt,4,2016-04-02,2018-11-26,968,TRUE,FALSE,41,11,46.06048,14.51844,268,5,55
406249,Entire home/apt,7,2013-04-01,2018-09-25,2003,TRUE,FALSE,15,3,46.047231,14.50393,65,5,100
420858,Entire home/apt,2,2012-04-30,2018-11-06,2381,TRUE,FALSE,8,6,46.038115,14.500867,74,5,67
421808,Entire home/apt,2,2017-01-27,2018-11-25,667,TRUE,FALSE,45,11,46.050606,14.513487,331,4,44
439899,Private room,2,,,0,FALSE,TRUE,0,0,46.053227,14.609323,29,4.5,19
460445,Entire home/apt,2,2012-07-05,2018-05-12,2137,TRUE,FALSE,1,1,46.04403,14.505778,7,5,67
460828,Private room,2,2014-09-06,2016-09-17,742,TRUE,FALSE,0,0,46.061043,14.522782,193,5,37
490328,Entire home/apt,4,2012-09-17,2018-11-24,2259,TRUE,FALSE,11,8,46.092107,14.511817,102,5,42
492377,Entire home/apt,6,2013-06-17,2018-08-23,1893,TRUE,FALSE,2,2,46.050366,14.506652,31,5,116
514891,Entire home/apt,8,2014-04-22,2018-11-04,1657,TRUE,FALSE,13,8,46.040706,14.514265,128,5,103
574460,Entire home/apt,4,2012-08-12,2018-01-14,1981,TRUE,FALSE,1,1,46.047795,14.505401,12,5,127
574569,Entire home/apt,6,2012-08-10,2018-09-27,2239,TRUE,FALSE,4,3,46.049926,14.504905,29,5,252
595571,Entire home/apt,4,2013-05-13,2018-09-21,1957,TRUE,FALSE,10,4,46.044138,14.508049,45,5,119
625860,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.052439,14.514598,35,4.5,91
669566,Entire home/apt,4,2015-06-28,2018-10-27,1217,TRUE,FALSE,28,8,46.052173,14.513507,173,5,83
679162,Entire home/apt,3,2015-07-02,2018-08-27,1152,TRUE,FALSE,45,5,46.043796,14.507286,168,5,69
719536,Entire home/apt,3,,,0,FALSE,TRUE,0,0,46.047083,14.507148,15,4.5,60
723600,Entire home/apt,7,2012-11-13,2017-10-31,1813,TRUE,FALSE,0,0,46.043487,14.506327,8,4.5,164
723683,Entire home/apt,3,2018-01-03,2018-12-09,340,TRUE,FALSE,100,12,46.052645,14.513761,405,5,55
723952,Entire home/apt,4,2013-04-01,2018-10-25,2033,TRUE,FALSE,1,1,46.068473,14.501407,9,5,64
725028,Entire home/apt,2,2016-01-18,2017-01-03,351,TRUE,FALSE,0,0,46.053644,14.507018,2,\N,55
739591,Entire home/apt,2,2018-09-01,2018-12-01,91,FALSE,FALSE,2,2,46.13268,14.552117,0,\N,55
742364,Entire home/apt,3,,,0,FALSE,TRUE,0,0,46.058979,14.51687,5,4.5,71
746564,Entire home/apt,3,2015-10-01,2018-06-16,989,TRUE,FALSE,1,1,46.052612,14.50881,3,5,72
771257,Entire home/apt,3,2013-01-03,2018-10-30,2126,TRUE,FALSE,14,7,46.061928,14.499833,7,4.5,71
822064,Entire home/apt,6,2013-05-21,2018-09-09,1937,TRUE,FALSE,9,7,46.051257,14.50553,52,5,144
826106,Entire home/apt,5,2017-08-21,2018-12-09,475,TRUE,FALSE,73,12,46.052243,14.507993,358,4.5,84
833687,Entire home/apt,3,,,0,FALSE,TRUE,0,0,46.045261,14.486497,64,5,47
852187,Entire home/apt,5,,,0,FALSE,TRUE,0,0,46.045718,14.46915,72,5,68
906407,Entire home/apt,2,2013-03-15,2018-09-16,2011,TRUE,FALSE,5,5,46.049301,14.508586,28,5,80
906748,Entire home/apt,2,2013-02-13,2018-08-09,2003,TRUE,FALSE,3,2,46.049144,14.509401,42,5,80
938944,Private room,2,2013-07-25,2018-08-22,1854,TRUE,FALSE,6,3,46.065755,14.516004,4,4.5,61
979097,Entire home/apt,5,2013-08-20,2018-11-19,1917,TRUE,FALSE,14,5,46.04494,14.50308,66,5,83
987669,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.045824,14.50656,136,4.5,42
994921,Entire home/apt,4,2013-04-30,2017-12-10,1685,TRUE,FALSE,1,1,46.052711,14.513318,25,5,127
1057279,Entire home/apt,2,2013-04-16,2018-04-16,1826,TRUE,FALSE,1,1,46.04575,14.506514,20,5,42
1103111,Private room,3,2013-05-17,2017-10-17,1614,TRUE,FALSE,0,0,46.048327,14.504851,9,5,108
1103171,Private room,4,2013-07-03,2017-07-21,1479,TRUE,FALSE,0,0,46.049215,14.505517,8,4.5,117
1184782,Entire home/apt,3,2015-10-31,2018-09-13,1048,TRUE,FALSE,12,7,46.051302,14.50467,36,5,158
1189877,Entire home/apt,2,,,0,FALSE,TRUE,0,0,46.05143,14.511951,19,5,72
1215371,Entire home/apt,4,2013-09-08,2018-10-03,1851,TRUE,FALSE,29,6,46.050426,14.509737,65,4.5,71
1227650,Entire home/apt,2,2017-09-01,2018-11-17,442,TRUE,FALSE,74,12,46.049667,14.505561,429,5,61
1228660,Entire home/apt,4,2014-08-19,2018-12-09,1573,TRUE,FALSE,25,11,46.069883,14.48943,105,5,36
1262702,Private room,1,2014-09-13,2018-09-28,1476,TRUE,FALSE,36,5,46.050512,14.49522,87,4.5,28
1275873,Entire home/apt,2,2015-10-03,2018-11-03,1127,TRUE,FALSE,35,9,46.049955,14.51441,157,5,72
1281898,Entire home/apt,6,2016-08-24,2018-12-09,837,TRUE,FALSE,45,12,46.041685,14.503499,187,5,84
1302990,Entire home/apt,3,,,0,FALSE,TRUE,0,0,46.114045,14.458941,0,\N,84
1343538,Entire home/apt,5,2013-08-25,2018-09-08,1840,TRUE,FALSE,2,2,46.051333,14.510183,9,5,118
1363145,Private room,4,,,0,FALSE,TRUE,0,0,46.045099,14.505531,0,\N,97
1371429,Entire home/apt,4,2018-08-20,2018-08-20,0,FALSE,TRUE,1,1,46.055649,14.509408,0,\N,78
1387693,Entire home/apt,8,,,0,FALSE,TRUE,0,0,46.047873,14.48697,50,4.5,91
1424028,Entire home/apt,13,,,0,FALSE,TRUE,0,0,46.048012,14.486328,27,4.5,115
1427562,Entire home/apt,5,2013-08-13,2017-07-06,1423,TRUE,FALSE,0,0,46.041534,14.502712,36,4.5,121
1440327,Entire home/apt,2,2017-04-02,2018-11-25,602,TRUE,FALSE,52,12,46.048859,14.507069,250,4.5,63
1481175,Entire home/apt,4,2016-09-27,2018-08-29,701,TRUE,FALSE,45,8,46.106278,14.544765,158,4.5,43
1481826,Entire home/apt,2,2014-06-21,2018-11-03,1596,TRUE,FALSE,38,10,46.105895,14.54303,77,5,28
1493736,Entire home/apt,6,2016-01-02,2018-08-17,958,TRUE,FALSE,3,2,46.044786,14.505324,7,4.5,72
1514212,Entire home/apt,3,2015-09-06,2016-08-11,340,TRUE,FALSE,0,0,46.057995,14.51173,2,\N,109
1522289,Private room,2,,,0,FALSE,TRUE,0,0,46.064628,14.521678,117,4.5,36
1523513,Entire home/apt,2,2013-10-08,2018-11-25,1874,TRUE,FALSE,3,3,46.067426,14.501978,5,4.5,36
1533419,Entire home/apt,6,2014-06-19,2018-11-18,1613,TRUE,FALSE,18,10,46.04847,14.507207,114,5,103
1549482,Entire home/apt,4,2013-09-24,2018-07-28,1768,TRUE,FALSE,3,2,46.072228,14.49354,38,4.5,55
1550935,Private room,2,2015-08-02,2018-08-11,1105,TRUE,FALSE,3,2,46.070496,14.507266,3,5,21
1553762,Private room,1,2014-02-01,2018-09-22,1694,TRUE,FALSE,3,3,46.053547,14.507848,9,4.5,42
1554012,Private room,1,2014-05-05,2018-05-23,1479,TRUE,FALSE,1,1,46.054558,14.506789,7,4.5,44
1554130,Private room,2,2014-05-26,2016-09-11,839,TRUE,FALSE,0,0,46.054165,14.507197,11,4.5,44
1554248,Private room,2,2013-11-18,2018-09-23,1770,TRUE,FALSE,5,3,46.053547,14.507848,9,5,44
1568128,Entire home/apt,5,2014-01-04,2018-09-16,1716,TRUE,FALSE,3,3,46.103705,14.464262,7,4.5,181
1572437,Entire home/apt,3,,,0,FALSE,TRUE,0,0,46.062284,14.508666,0,\N,115
1572753,Entire home/apt,2,2013-09-16,2018-10-30,1870,TRUE,FALSE,8,5,46.041888,14.50554,24,4.5,45
1573103,Entire home/apt,2,2013-11-12,2018-08-28,1750,TRUE,FALSE,2,2,46.066381,14.474904,17,5,61
1578079,Entire home/apt,4,2014-08-10,2017-01-02,876,TRUE,FALSE,0,0,46.061901,14.521781,5,4.5,103
1578633,Private room,2,2015-08-02,2017-04-16,623,TRUE,FALSE,0,0,46.061689,14.523662,8,5,61
1586528,Entire home/apt,7,2018-03-31,2018-10-17,200,TRUE,FALSE,13,8,46.10405,14.469575,7,4.5,158
1599547,Private room,3,2013-09-16,2018-09-18,1828,TRUE,FALSE,16,3,46.083226,14.510898,72,4.5,24
1682886,Entire home/apt,2,2016-03-09,2018-11-03,969,TRUE,FALSE,9,4,46.047438,14.507482,225,4.5,61
1719460,Entire home/apt,2,,,0,FALSE,TRUE,0,0,46.044105,14.506151,219,4.5,36
1765380,Entire home/apt,2,2014-07-22,2018-06-25,1434,TRUE,FALSE,3,2,46.049333,14.505409,7,5,234
1767923,Entire home/apt,3,2013-11-03,2018-08-25,1756,TRUE,FALSE,5,4,46.053642,14.507662,31,5,71
1780493,Private room,2,2014-02-01,2016-06-16,866,TRUE,FALSE,0,0,46.0529,14.508381,4,5,83
1784417,Entire home/apt,6,2015-06-03,2018-10-28,1243,TRUE,FALSE,32,10,46.066024,14.526007,130,5,71
1785632,Entire home/apt,5,2016-02-08,2018-11-25,1021,TRUE,FALSE,49,12,46.080914,14.511829,143,5,55
1799681,Entire home/apt,4,2017-12-10,2018-08-25,258,TRUE,FALSE,15,7,46.039694,14.489226,7,5,84
1952551,Entire home/apt,2,2014-01-03,2018-09-18,1719,TRUE,FALSE,14,7,46.071996,14.469434,12,5,35
1966496,Entire home/apt,2,2014-01-02,2018-08-30,1701,TRUE,FALSE,8,3,46.047678,14.474816,26,4.5,26
1998867,Private room,16,2014-08-14,2018-10-01,1509,TRUE,FALSE,4,2,46.130711,14.421795,13,4,58
2013685,Entire home/apt,6,2014-01-03,2018-09-22,1723,TRUE,FALSE,6,5,46.071312,14.453266,10,5,97
2055849,Entire home/apt,2,2014-06-04,2016-08-17,805,TRUE,FALSE,0,0,46.04549,14.504678,6,4.5,95
2055854,Entire home/apt,2,2014-01-02,2014-06-16,165,TRUE,FALSE,0,0,46.046423,14.505524,3,4.5,83
2242906,Entire home/apt,2,2017-12-15,2018-09-22,281,TRUE,FALSE,5,5,46.032649,14.431311,2,\N,36
2303871,Entire home/apt,5,2017-08-13,2018-01-01,141,TRUE,FALSE,2,2,46.040626,14.511275,13,5,61
2323626,Entire home/apt,4,2015-03-29,2018-12-02,1344,TRUE,FALSE,34,9,46.061424,14.503803,102,5,139
2462031,Entire home/apt,4,2014-06-09,2018-10-20,1594,TRUE,FALSE,6,4,46.049444,14.450716,11,4.5,72
2515083,Private room,2,2014-10-27,2018-06-02,1314,TRUE,FALSE,10,7,46.046607,14.500277,15,5,14
2525015,Entire home/apt,4,2015-08-05,2018-09-05,1127,TRUE,FALSE,16,9,46.066427,14.495872,145,5,61
2544259,Private room,3,2017-08-31,2018-12-05,461,TRUE,FALSE,76,12,46.05698,14.503323,277,5,36
2592891,Entire home/apt,4,2014-07-26,2018-11-26,1584,TRUE,FALSE,2,2,46.057327,14.511945,17,5,123
2694264,Entire home/apt,2,2014-06-03,2017-02-22,995,TRUE,FALSE,0,0,46.045218,14.505177,3,5,62
2697172,Entire home/apt,5,2016-05-28,2018-12-06,922,TRUE,FALSE,38,10,46.079977,14.511831,158,4.5,48
2748082,Entire home/apt,8,2014-04-13,2018-07-11,1550,TRUE,FALSE,6,4,46.05654,14.504055,54,4.5,205
2844551,Entire home/apt,2,2014-06-11,2018-10-29,1601,TRUE,FALSE,17,5,46.044971,14.508788,63,4.5,70
2855525,Entire home/apt,2,2014-05-30,2018-04-28,1429,TRUE,FALSE,2,2,46.069605,14.514652,17,5,89
2907355,Entire home/apt,2,2014-09-21,2018-08-19,1428,TRUE,FALSE,21,7,46.056073,14.516247,105,5,61
2912110,Entire home/apt,2,2014-05-26,2018-01-01,1316,TRUE,FALSE,1,1,46.045889,14.506414,2,\N,64
2920311,Entire home/apt,6,2014-07-22,2018-08-13,1483,TRUE,FALSE,3,3,46.072255,14.51751,19,4.5,133
3044639,Entire home/apt,3,2017-10-27,2018-12-11,410,TRUE,FALSE,91,12,46.049243,14.506496,298,4.5,48
3050694,Private room,2,2014-09-22,2018-08-20,1428,TRUE,FALSE,2,1,46.133141,14.442957,5,5,72
3057506,Entire home/apt,6,2015-03-10,2018-01-01,1028,TRUE,FALSE,1,1,46.047983,14.506756,7,5,124
3064510,Entire home/apt,4,2014-09-21,2018-10-31,1501,TRUE,FALSE,16,6,46.043236,14.51031,108,5,55
3086621,Entire home/apt,4,2017-05-09,2018-12-01,571,TRUE,FALSE,61,12,46.04879,14.505864,208,4.5,67
3161144,Private room,2,2014-06-24,2018-08-31,1529,TRUE,FALSE,15,7,46.053407,14.516127,92,4.5,55
3163194,Entire home/apt,5,2017-07-02,2018-12-08,524,TRUE,FALSE,70,12,46.052507,14.50473,196,5,103
3174780,Private room,3,2014-06-11,2018-09-01,1543,TRUE,FALSE,11,4,46.082098,14.509468,53,4.5,22
3182655,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.086053,14.514494,0,\N,115
3197261,Entire home/apt,4,2014-07-18,2018-09-19,1524,TRUE,FALSE,8,3,46.057862,14.520179,28,4.5,67
3226778,Entire home/apt,10,2014-08-28,2018-11-18,1543,TRUE,FALSE,21,11,46.079815,14.512238,68,4.5,96
3313875,Entire home/apt,2,2014-06-23,2016-07-11,749,TRUE,FALSE,0,0,46.048363,14.501309,26,4.5,71
3314648,Entire home/apt,3,2015-01-02,2015-01-02,0,FALSE,TRUE,0,0,46.104825,14.526592,1,\N,83
3337014,Entire home/apt,5,2014-12-08,2018-10-20,1412,TRUE,FALSE,2,2,46.070597,14.485916,20,4.5,91
3345786,Entire home/apt,5,2014-08-25,2017-09-04,1106,TRUE,FALSE,0,0,46.07406,14.508439,6,4.5,181
3345943,Entire home/apt,3,2015-08-24,2018-09-07,1110,TRUE,FALSE,2,2,46.073696,14.508327,7,4.5,55
3358261,Private room,2,2015-07-18,2015-07-18,0,FALSE,TRUE,0,0,46.044667,14.507638,1,\N,96
3368248,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.056407,14.509637,0,\N,109
3391937,Entire home/apt,3,2015-09-10,2018-11-14,1161,TRUE,FALSE,39,11,46.064295,14.514214,138,5,55
3483814,Private room,2,,,0,FALSE,TRUE,0,0,46.080044,14.470907,0,\N,44
3484115,Private room,3,,,0,FALSE,TRUE,0,0,46.07952,14.470831,0,\N,60
3503562,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.0537,14.608918,40,5,36
3536842,Entire home/apt,6,2014-08-17,2017-06-07,1025,TRUE,FALSE,0,0,46.048273,14.502221,6,4.5,103
3547052,Entire home/apt,3,2014-08-12,2018-11-11,1552,TRUE,FALSE,19,8,46.060608,14.514027,24,5,67
3611281,Entire home/apt,5,2017-03-12,2018-11-18,616,TRUE,FALSE,58,12,46.059684,14.519829,218,4.5,67
3620147,Entire home/apt,2,2014-08-11,2018-09-16,1497,TRUE,FALSE,19,3,46.047786,14.501666,30,4.5,78
3632549,Entire home/apt,6,2017-08-04,2018-11-26,479,TRUE,FALSE,71,11,46.052644,14.51127,208,5,97
3643334,Entire home/apt,3,2017-04-09,2018-12-09,609,TRUE,FALSE,58,9,46.046963,14.506735,180,5,77
3675637,Entire home/apt,2,2014-07-27,2018-07-30,1464,TRUE,FALSE,3,2,46.039768,14.509403,88,4.5,48
3681359,Entire home/apt,2,2018-05-20,2018-05-20,0,FALSE,TRUE,1,1,46.074284,14.467948,1,\N,156
3702492,Private room,2,2014-07-28,2018-12-03,1589,TRUE,FALSE,3,3,46.061297,14.529126,26,5,30
3716642,Entire home/apt,6,2015-01-11,2018-12-09,1428,TRUE,FALSE,20,8,46.047497,14.506337,101,5,91
3739486,Entire home/apt,5,,,0,FALSE,TRUE,0,0,46.045397,14.497857,51,5,84
3809178,Entire home/apt,3,2014-08-17,2018-09-30,1505,TRUE,FALSE,25,6,46.048238,14.491687,56,5,72
3840264,Entire home/apt,7,2017-05-28,2018-12-02,553,TRUE,FALSE,62,12,46.038882,14.51026,232,5,141
3864394,Entire home/apt,6,,,0,FALSE,TRUE,0,0,46.05698,14.503323,50,5,95
3868361,Entire home/apt,6,2014-08-22,2018-11-04,1535,TRUE,FALSE,6,4,46.045727,14.50911,26,5,133
3874785,Entire home/apt,4,2017-07-08,2018-12-11,521,TRUE,FALSE,71,11,46.050512,14.515894,248,5,61
3879806,Entire home/apt,4,2014-08-30,2018-06-29,1399,TRUE,FALSE,1,1,46.048081,14.507345,15,5,137
3958205,Entire home/apt,2,2017-09-09,2018-12-10,457,TRUE,FALSE,83,12,46.040425,14.489644,289,5,46
3985703,Entire home/apt,4,2014-09-03,2018-05-02,1337,TRUE,FALSE,4,4,46.067741,14.499184,9,4.5,71
3986686,Entire home/apt,4,2014-10-19,2018-01-02,1171,TRUE,FALSE,1,1,46.051277,14.510173,7,5,118
4057176,Entire home/apt,2,,,0,FALSE,TRUE,0,0,46.064811,14.495959,77,4.5,46
4115959,Entire home/apt,3,2014-09-25,2018-10-30,1496,TRUE,FALSE,19,7,46.057753,14.506438,38,5,102
4133941,Entire home/apt,2,2015-01-03,2018-10-16,1382,TRUE,FALSE,21,8,46.054433,14.514788,48,5,109
4139181,Private room,2,2018-04-01,2018-04-01,0,FALSE,TRUE,1,1,46.073629,14.467345,1,\N,109
4147099,Entire home/apt,4,2016-04-26,2018-07-08,803,TRUE,FALSE,1,1,46.073906,14.468574,1,\N,216
